Site,Charoen Pokphand Madiun
Periode,2026-04-14 s/d 2026-04-27

tanggal,inverter_name,string_number,daily_energy_kwh,daily_ghi_kwh_m2,pr_ghi_pct,pr_poa_pct,string_dc_kw_stc
2026-04-15,CPMAD-INV-05.,4,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-05.,5,34.4553,6.040252,46.756,50.788,12.2000
2026-04-15,CPMAD-INV-05.,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,7,31.1227,6.040252,42.234,45.876,12.2000
2026-04-15,CPMAD-INV-05.,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,9,31.4304,6.040252,42.652,46.329,12.2000
2026-04-15,CPMAD-INV-05.,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,11,31.7845,6.040252,43.132,46.851,12.2000
2026-04-15,CPMAD-INV-05.,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,13,34.4539,6.040252,46.755,50.786,12.2000
2026-04-15,CPMAD-INV-05.,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,15,35.2368,6.040252,47.817,51.940,12.2000
2026-04-15,CPMAD-INV-05.,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,17,34.4247,6.040252,46.715,50.743,12.2000
2026-04-15,CPMAD-INV-05.,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,19,35.0889,6.040252,47.616,51.722,12.2000
2026-04-15,CPMAD-INV-05.,20,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,21,35.1371,6.040252,47.682,51.793,12.2000
2026-04-15,CPMAD-INV-05.,22,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,23,34.5086,6.040252,46.829,50.867,
2026-04-15,CPMAD-INV-05.,24,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,1,33.9093,6.040252,46.015,49.983,12.2000
2026-04-15,CPMAD-INV-06,2,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-06,3,35.2281,6.040252,47.805,51.927,12.2000
2026-04-15,CPMAD-INV-06,4,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-06,5,34.0461,6.040252,46.201,50.185,12.2000
2026-04-15,CPMAD-INV-06,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,7,33.0242,6.040252,44.814,48.679,12.2000
2026-04-15,CPMAD-INV-06,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,9,34.2131,6.040252,46.428,50.431,12.2000
2026-04-15,CPMAD-INV-06,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,11,36.8469,6.040252,50.002,54.313,12.2000
2026-04-15,CPMAD-INV-06,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,13,34.7370,6.040252,47.139,51.203,12.2000
2026-04-15,CPMAD-INV-06,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,15,35.8674,6.040252,48.673,52.869,12.2000
2026-04-15,CPMAD-INV-06,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,17,34.5217,6.040252,46.847,50.886,12.2000
2026-04-15,CPMAD-INV-06,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,19,36.0358,6.040252,48.901,53.118,12.2000
2026-04-15,CPMAD-INV-06,20,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,21,36.2504,6.040252,49.192,53.434,12.2000
2026-04-15,CPMAD-INV-06,22,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-06,23,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-06,24,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,1,34.7593,6.040252,47.169,51.236,12.2000
2026-04-15,CPMAD-INV-07.,2,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-07.,3,35.8290,6.040252,48.621,52.813,12.2000
2026-04-15,CPMAD-INV-07.,4,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-07.,5,35.2563,6.040252,47.843,51.969,12.2000
2026-04-15,CPMAD-INV-07.,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,7,35.1110,6.040252,47.646,51.755,12.2000
2026-04-15,CPMAD-INV-07.,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,9,35.8146,6.040252,48.601,52.792,12.2000
