source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;11;6T2499004897;6T2499004897;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;12;6T24A9036732;6T24A9036732;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;12;6T24A9036732;6T24A9036732;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;13;6T2499011620;6T2499011620;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;13;6T2499011620;6T2499011620;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;14;6T2499011626;6T2499011626;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;14;6T2499011626;6T2499011626;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;1;GR24A9027487;GR24A9027487;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;1;GR24A9027487;GR24A9027487;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;2;GR24A9027459;GR24A9027459;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;2;GR24A9027459;GR24A9027459;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;3;GR24A9027488;GR24A9027488;;;;;;;True;;;
