site_id,site_name,inverter_no,layout_string_rows,dim_inverter_id,dim_id_status,cfg_inverter_id,cfg_inverter_sn,cfg_status,mart_inv_keys_missing_dim_45d
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,1,20,1,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,2,20,2,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,3,20,3,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,4,20,4,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,5,20,5,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,6,20,6,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,7,20,7,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,8,20,8,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,9,20,9,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,10,20,10,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,11,20,11,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,12,20,12,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,13,20,13,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,14,20,14,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,14
NE=61847068,PT Gelora Djaja 1 MWp,1,21,ES2550107337,dim_inverter_id_ok,,,no_seed_inverter_config_row,0
NE=61847068,PT Gelora Djaja 1 MWp,2,21,ES2550107300,dim_inverter_id_ok,,,no_seed_inverter_config_row,0
NE=61847068,PT Gelora Djaja 1 MWp,3,21,ES2550107309,dim_inverter_id_ok,,,no_seed_inverter_config_row,0
NE=61847068,PT Gelora Djaja 1 MWp,4,21,ES2550107302,dim_inverter_id_ok,,,no_seed_inverter_config_row,0
NE=61847068,PT Gelora Djaja 1 MWp,5,21,ES2550107307,dim_inverter_id_ok,,,no_seed_inverter_config_row,0
NE=61847068,PT Gelora Djaja 1 MWp,6,21,ES2550152915,dim_inverter_id_ok,,,no_seed_inverter_config_row,0
