Site_Name;Site_Code;Week;Month;Date;GHI;POA;Energy Simulation (MW);Energy Target (MW);Daily PR POA Simulation;Daily PR POA Target;GHI vs POA;Daily PR GHI Simulation;Daily PR GHI Target
Garuda Metalindo 1;1458125;W4;May;22/05/2025;4.52;4.41;2.490212121;2.490212121;0.807657799;0.807657799;0.11;0.78800241;0.78800241
Garuda Metalindo 1;1458125;W4;May;23/05/2025;4.87;4.75;2.658274747;2.658274747;0.800453106;0.800453106;0.12;0.780729415;0.780729415
Garuda Metalindo 1;1458125;W4;May;24/05/2025;6.09;5.95;0;3.320377439;0;0.798178686;0.14;0;0.779829751
Garuda Metalindo 1;1458125;W4;May;25/05/2025;5.18;5.07;2.865913131;2.865913131;0.808508707;0.808508707;0.11;0.791339603;0.791339603
Garuda Metalindo 1;1458125;W5;May;26/05/2025;4.24;4.13;2.278636364;2.278636364;0.789141004;0.789141004;0.11;0.768668006;0.768668006
Garuda Metalindo 1;1458125;W5;May;27/05/2025;4.36;4.25;1.321085859;2.371698171;0.444602348;0.798178686;0.11;0.433385316;0.77804115
Garuda Metalindo 1;1458125;W5;May;28/05/2025;4.82;4.71;0;2.62839962;0;0.798178686;0.11;0;0.77996299
Garuda Metalindo 1;1458125;W5;May;29/05/2025;4.82;4.7;2.662222222;2.662222222;0.810169863;0.810169863;0.12;0.789999659;0.789999659
Garuda Metalindo 1;1458125;W5;May;30/05/2025;4.92;4.8;2.73510404;2.73510404;0.815008713;0.815008713;0.12;0.795130452;0.795130452
Garuda Metalindo 1;1458125;W5;May;31/05/2025;4.46;4.34;2.487139394;2.487139394;0.819671877;0.819671877;0.12;0.797617926;0.797617926
Garuda Metalindo 1;1458125;W1;June;01/06/2025;5.18;5.06;2.844171717;2.844171717;0.803960913;0.803960913;0.12;0.785336336;0.785336336
Garuda Metalindo 1;1458125;W2;June;02/06/2025;5.73;5.59;3.10350101;3.10350101;0.794089989;0.794089989;0.14;0.77468814;0.77468814
Garuda Metalindo 1;1458125;W2;June;03/06/2025;5.78;5.64;3.143075758;3.143075758;0.79708637;0.79708637;0.14;0.77777978;0.77777978
Garuda Metalindo 1;1458125;W2;June;04/06/2025;5.73;5.59;3.100718182;3.100718182;0.79337795;0.79337795;0.14;0.773993497;0.773993497
Garuda Metalindo 1;1458125;W2;June;05/06/2025;5.32;5.19;2.90899798;2.90899798;0.801688585;0.801688585;0.13;0.78209845;0.78209845
Garuda Metalindo 1;1458125;W2;June;06/06/2025;3.02;2.93;1.697384848;1.697384848;0.828595058;0.828595058;0.09;0.803901828;0.803901828
Garuda Metalindo 1;1458125;W2;June;07/06/2025;3.62;3.52;2.040966667;2.040966667;0.829321427;0.829321427;0.1;0.806411995;0.806411995
Garuda Metalindo 1;1458125;W2;June;08/06/2025;5.63;5.49;3.071940404;3.071940404;0.800331812;0.800331812;0.14;0.780430133;0.780430133
Garuda Metalindo 1;1458125;W3;June;09/06/2025;4.24;4.14;2.359184848;2.359184848;0.815063166;0.815063166;0.1;0.795839978;0.795839978
